Sample	Sample	Fragments_Used_for_Bidirectional_Calc[#]	Bidirectional_ANI[%]	Bidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]
Leptospira_bouyouniensis_GCF_004770445	Leptospira_gorisiae_GCF_040833975	532.5	69.849	4.034	1842	69.919	4.250	1816	69.714	3.985
Leptospira_selangorensis_GCF_004769405	Leptospira_gorisiae_GCF_040833975	1608	71.568	4.143	5095	71.426	4.311	5096	71.340	4.090
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_gorisiae_GCF_040833975	1516	71.786	4.265	5070	71.590	4.361	5081	71.529	4.159
Leptospira_santarosai_GCF_000313175	Leptospira_gorisiae_GCF_040833975	3888.5	78.609	4.592	10970	78.226	4.730	10897	78.252	4.705
Leptospira_semungkisensis_GCF_004770055	Leptospira_gorisiae_GCF_040833975	1507.5	71.450	4.169	4811	71.373	4.353	4830	71.274	4.128
Leptospira_hartskeerlii_GCF_002811475	Leptospira_gorisiae_GCF_040833975	1555.5	71.635	4.235	5054	71.410	4.343	5025	71.368	4.085
Leptospira_andrefontaineae_GCF_004770105	Leptospira_gorisiae_GCF_040833975	1569.5	71.534	4.184	5049	71.396	4.312	5042	71.295	4.083
Leptospira_langatensis_GCF_004770615	Leptospira_gorisiae_GCF_040833975	1419	71.494	4.200	4728	71.460	4.372	4740	71.408	4.131
Leptospira_koniambonensis_GCF_004769555	Leptospira_gorisiae_GCF_040833975	1543	71.392	4.208	5039	71.288	4.306	5031	71.212	4.068
Leptospira_yanagawae_GCF_000332475	Leptospira_gorisiae_GCF_040833975	497	69.837	4.114	1781	69.875	4.338	1763	69.809	4.226
Leptospira_wolbachii_GCF_000332515	Leptospira_gorisiae_GCF_040833975	557.5	70.064	4.152	1875	70.040	4.286	1867	70.165	4.474
Leptospira_adleri_GCF_002811985	Leptospira_gorisiae_GCF_040833975	4983	79.726	5.057	13609	79.288	5.233	13439	79.203	5.144
Leptospira_venezuelensis_GCF_002150035	Leptospira_gorisiae_GCF_040833975	1478	71.344	4.208	4966	71.244	4.310	4984	71.149	4.086
Leptospira_weilii_GCF_006874745	Leptospira_gorisiae_GCF_040833975	3934	78.645	4.540	11288	78.233	4.736	11221	78.222	4.697
Leptospira_fletcheri_GCF_004769195	Leptospira_gorisiae_GCF_040833975	1404.5	71.701	4.120	4673	71.526	4.248	4643	71.414	4.026
Leptospira_noumeaensis_GCF_004770765	Leptospira_gorisiae_GCF_040833975	550	69.928	3.977	1902	70.059	4.329	1877	69.826	3.855
Leptospira_borgpetersenii_GCF_003046425	Leptospira_gorisiae_GCF_040833975	3979.5	78.355	4.474	11021	78.005	4.615	10853	78.000	4.521
Leptospira_alexanderi_GCF_000243815	Leptospira_gorisiae_GCF_040833975	3964	78.784	4.641	11295	78.461	4.872	11186	78.403	4.760
Leptospira_levettii_GCF_002812085	Leptospira_gorisiae_GCF_040833975	535	69.853	3.781	1795	69.871	4.112	1756	69.689	3.677
Leptospira_wolffii_GCF_000306115	Leptospira_gorisiae_GCF_040833975	1490.5	71.820	4.298	4975	71.604	4.386	4944	71.542	4.170
Leptospira_stimsonii_GCF_003545885	Leptospira_gorisiae_GCF_040833975	5032	79.541	5.136	13785	79.101	5.250	13682	79.056	5.190
Leptospira_barantonii_GCF_002811925	Leptospira_gorisiae_GCF_040833975	4897	79.448	4.770	13278	79.118	4.945	13299	79.024	4.919
Leptospira_perdikensis_GCF_004769575	Leptospira_gorisiae_GCF_040833975	573.5	70.050	3.997	1925	70.029	4.287	1884	69.878	3.896
Leptospira_inadai_GCF_000243675	Leptospira_gorisiae_GCF_040833975	1492	71.599	4.156	5027	71.604	4.440	4976	71.427	4.282
Leptospira_montravelensis_GCF_004769455	Leptospira_gorisiae_GCF_040833975	553.5	69.956	4.133	1892	70.030	4.296	1861	69.879	4.005
Leptospira_kemamanensis_GCF_004769665	Leptospira_gorisiae_GCF_040833975	523	70.136	3.972	1853	70.131	4.267	1813	69.866	3.830
Leptospira_bandrabouensis_GCF_004770905	Leptospira_gorisiae_GCF_040833975	552	70.089	4.073	1876	70.132	4.272	1855	70.096	4.087
Leptospira_kanakyensis_GCF_004769235	Leptospira_gorisiae_GCF_040833975	545	70.067	4.048	1869	70.144	4.312	1865	69.876	3.879
Leptospira_ellisii_GCF_002811955	Leptospira_johnsonii_GCF_003112675	1311	71.392	4.174	4325	71.246	4.077	4283	71.241	4.082
Leptospira_ilyithenensis_GCF_004771005	Leptospira_gorisiae_GCF_040833975	678.5	70.589	4.041	2343	70.606	4.245	2304	70.435	3.951
Leptospira_terpstrae_GCF_000332495	Leptospira_johnsonii_GCF_003112675	581.5	70.170	4.007	2031	70.017	3.955	2036	70.263	4.465
Leptospira_vanthielii_GCF_000332455	Leptospira_johnsonii_GCF_003112675	586.5	70.220	4.133	2025	70.011	3.954	2034	70.316	4.491
Leptospira_broomii_GCF_000243715	Leptospira_gorisiae_GCF_040833975	1494.5	71.395	4.063	4996	71.352	4.247	4947	71.181	4.033
Leptospira_interrogans_GCF_000343165	Leptospira_gorisiae_GCF_040833975	3865.5	77.830	4.323	10874	77.410	4.501	10812	77.410	4.401
Leptospira_ellinghausenii_GCF_003114815	Leptospira_johnsonii_GCF_003112675	578	70.103	4.071	1924	69.945	3.967	1918	69.935	3.938
Leptospira_brenneri_GCF_002812125	Leptospira_johnsonii_GCF_003112675	583	70.165	4.290	2004	70.097	4.081	1977	70.094	4.060
Leptospira_sarikeiensis_GCF_004769615	Leptospira_johnsonii_GCF_003112675	6507	81.122	4.672	16453	80.812	4.772	16509	80.769	4.819
Leptospira_kobayashii_GCF_003114835	Leptospira_johnsonii_GCF_003112675	729.5	70.610	4.021	2420	70.385	3.895	2410	70.379	3.900
Leptospira_milleri_GCF_040833955	Leptospira_johnsonii_GCF_003112675	505.5	69.993	4.048	1741	69.961	3.996	1759	70.131	4.428
Leptospira_meyeri_GCF_004368965	Leptospira_johnsonii_GCF_003112675	600.5	70.296	4.126	2068	70.071	3.946	2035	70.141	4.083
Leptospira_perolatii_GCF_002811875	Leptospira_johnsonii_GCF_003112675	2604.5	72.480	4.293	8242	72.103	4.214	8246	72.110	4.199
Leptospira_ryugenii_GCF_003114855	Leptospira_johnsonii_GCF_003112675	528	69.584	3.709	1789	69.465	3.761	1755	69.498	3.698
Leptospira_congkakensis_GCF_004770265	Leptospira_johnsonii_GCF_003112675	576.5	70.228	4.214	2037	70.041	4.062	2014	70.030	4.028
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_johnsonii_GCF_003112675	1551.5	71.650	4.256	5207	71.488	4.171	5225	71.529	4.175
Leptospira_ognonensis_GCF_004770745	Leptospira_johnsonii_GCF_003112675	557.5	69.604	3.863	1845	69.419	3.689	1843	69.404	3.656
Leptospira_ainazelensis_GCF_016918785	Leptospira_gorisiae_GCF_040833975	5138	80.086	5.116	14027	79.556	5.262	13994	79.484	5.256
Leptospira_noguchii_GCF_000306255	Leptospira_gorisiae_GCF_040833975	3880.5	77.760	4.395	11139	77.474	4.663	11056	77.399	4.586
Leptospira_gomenensis_GCF_004770155	Leptospira_johnsonii_GCF_003112675	1396.5	71.416	4.202	4618	71.240	4.142	4580	71.259	4.111
Leptospira_alstonii_GCF_000347175	Leptospira_gorisiae_GCF_040833975	4251.5	79.678	4.741	11741	79.197	4.912	11724	79.238	4.943
Leptospira_jelokensis_GCF_004769775	Leptospira_johnsonii_GCF_003112675	550.5	69.982	4.032	1875	69.831	3.951	1861	69.969	4.227
Leptospira_yasudae_GCF_003545925	Leptospira_johnsonii_GCF_003112675	1598	71.713	4.321	5121	71.523	4.224	5130	71.483	4.250
Leptospira_cinconiae_GCF_040833995	Leptospira_johnsonii_GCF_003112675	7636	87.651	3.370	17476	87.485	3.555	17530	87.502	3.562
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_johnsonii_GCF_003112675	587.5	70.273	4.043	2023	70.148	4.020	1987	70.167	4.119
Leptospira_licerasiae_GCF_000244755	Leptospira_johnsonii_GCF_003112675	7732.5	87.120	3.471	17603	86.973	3.631	17656	86.944	3.695
Leptospira_biflexa_GCF_000017685	Leptospira_johnsonii_GCF_003112675	557.5	70.060	4.143	1906	69.852	3.971	1884	70.040	4.398
Leptospira_kirschneri_GCF_000243695	Leptospira_johnsonii_GCF_003112675	1479.5	71.823	4.179	4688	71.526	4.104	4707	71.561	4.148
Leptospira_sanjuanensis_GCF_022267325	Leptospira_johnsonii_GCF_003112675	1547.5	71.734	4.340	5055	71.483	4.213	5055	71.574	4.464
Leptospira_harrisiae_GCF_002811945	Leptospira_johnsonii_GCF_003112675	587	70.288	4.145	2020	70.091	3.984	2006	70.129	4.160
Leptospira_chreensis_GCF_016919165	Leptospira_johnsonii_GCF_003112675	580.5	70.351	4.113	1975	70.147	4.031	2054	70.161	3.939
Leptospira_iowaensis_GCF_040833965	Leptospira_johnsonii_GCF_003112675	577	70.052	4.005	1938	69.900	3.950	1944	70.083	4.311
Leptospira_selangorensis_GCF_004769405	Leptospira_johnsonii_GCF_003112675	7973	87.881	3.338	17843	87.698	3.580	17886	87.664	3.658
Leptospira_idonii_GCF_004770995	Leptospira_johnsonii_GCF_003112675	690	70.936	4.065	2331	70.872	4.061	2364	70.785	4.085
Leptospira_semungkisensis_GCF_004770055	Leptospira_johnsonii_GCF_003112675	5020	77.218	4.815	14327	76.775	4.825	14320	76.794	4.818
Leptospira_adleri_GCF_002811985	Leptospira_johnsonii_GCF_003112675	1562.5	71.595	4.125	5170	71.420	4.154	5108	71.430	4.152
Leptospira_weilii_GCF_006874745	Leptospira_johnsonii_GCF_003112675	1371.5	71.570	4.180	4439	71.457	4.151	4469	71.550	4.407
Leptospira_santarosai_GCF_000313175	Leptospira_johnsonii_GCF_003112675	1327.5	71.699	4.212	4326	71.473	4.175	4334	71.580	4.369
Leptospira_tipperaryensis_GCF_001729245	Leptospira_johnsonii_GCF_003112675	1729.5	71.691	4.285	5557	71.491	4.189	5547	71.590	4.392
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_johnsonii_GCF_003112675	7614	88.019	3.290	17525	87.873	3.544	17526	87.867	3.553
Leptospira_neocaledonica_GCF_002812205	Leptospira_johnsonii_GCF_003112675	8033	89.484	3.147	17726	89.325	3.347	17735	89.323	3.358
Leptospira_bouyouniensis_GCF_004770445	Leptospira_johnsonii_GCF_003112675	582	70.034	4.060	1942	69.831	3.945	1930	69.898	4.118
Leptospira_kmetyi_GCF_000243735	Leptospira_johnsonii_GCF_003112675	1573	71.766	4.250	5231	71.516	4.193	5253	71.525	4.233
Leptospira_fainei_GCF_000306235	Leptospira_johnsonii_GCF_003112675	3215	72.884	4.297	9875	72.520	4.254	9950	72.510	4.269
Leptospira_hartskeerlii_GCF_002811475	Leptospira_johnsonii_GCF_003112675	7851	87.930	3.274	17782	87.738	3.516	17747	87.761	3.451
Leptospira_andrefontaineae_GCF_004770105	Leptospira_johnsonii_GCF_003112675	7731	87.751	3.417	17808	87.554	3.642	17840	87.548	3.643
Leptospira_langatensis_GCF_004770615	Leptospira_johnsonii_GCF_003112675	4948.5	77.079	4.791	14196	76.672	4.859	14214	76.695	4.858
Leptospira_yanagawae_GCF_000332475	Leptospira_johnsonii_GCF_003112675	545	70.080	3.997	1835	69.902	3.945	1828	70.071	4.239
Leptospira_koniambonensis_GCF_004769555	Leptospira_johnsonii_GCF_003112675	7711	87.499	3.426	17667	87.329	3.630	17693	87.321	3.655
Leptospira_wolbachii_GCF_000332515	Leptospira_johnsonii_GCF_003112675	575	69.970	3.991	1973	69.982	3.892	1984	70.269	4.469
Leptospira_venezuelensis_GCF_002150035	Leptospira_johnsonii_GCF_003112675	7563.5	86.749	3.576	17620	86.548	3.800	17659	86.522	3.850
Leptospira_stimsonii_GCF_003545885	Leptospira_johnsonii_GCF_003112675	1591	71.656	4.201	5222	71.428	4.097	5186	71.456	4.118
Leptospira_fletcheri_GCF_004769195	Leptospira_johnsonii_GCF_003112675	2996	72.894	4.379	9117	72.532	4.338	9168	72.526	4.329
Leptospira_barantonii_GCF_002811925	Leptospira_johnsonii_GCF_003112675	1637	71.755	4.296	5337	71.556	4.214	5332	71.580	4.232
Leptospira_noumeaensis_GCF_004770765	Leptospira_johnsonii_GCF_003112675	604.5	70.165	4.103	2023	70.019	4.000	1976	70.023	3.978
Leptospira_perdikensis_GCF_004769575	Leptospira_johnsonii_GCF_003112675	582	70.306	4.140	1970	70.111	4.031	1936	70.172	4.055
Leptospira_alexanderi_GCF_000243815	Leptospira_johnsonii_GCF_003112675	1342	71.684	4.233	4478	71.511	4.136	4479	71.530	4.130
Leptospira_wolffii_GCF_000306115	Leptospira_johnsonii_GCF_003112675	4609	75.702	4.774	13261	75.185	4.794	13314	75.188	4.794
Leptospira_levettii_GCF_002812085	Leptospira_johnsonii_GCF_003112675	568.5	70.044	3.957	1939	69.886	3.830	1917	69.914	3.821
Leptospira_inadai_GCF_000243675	Leptospira_johnsonii_GCF_003112675	3211.5	72.864	4.368	9732	72.517	4.303	9847	72.542	4.445
Leptospira_montravelensis_GCF_004769455	Leptospira_johnsonii_GCF_003112675	603	70.206	3.937	1999	70.120	3.945	1980	70.145	4.101
Leptospira_bandrabouensis_GCF_004770905	Leptospira_johnsonii_GCF_003112675	570	70.168	4.090	1976	70.113	3.957	1982	70.182	4.193
Leptospira_terpstrae_GCF_000332495	Leptospira_ellisii_GCF_002811955	442	69.295	3.795	1521	69.227	3.864	1543	69.618	4.572
Leptospira_vanthielii_GCF_000332455	Leptospira_ellisii_GCF_002811955	440	69.820	3.916	1487	69.534	3.825	1524	69.941	4.604
Leptospira_broomii_GCF_000243715	Leptospira_johnsonii_GCF_003112675	3213.5	72.791	4.289	9925	72.456	4.228	10017	72.439	4.264
Leptospira_interrogans_GCF_000343165	Leptospira_johnsonii_GCF_003112675	1411	71.634	4.144	4649	71.429	4.097	4604	71.504	4.099
Leptospira_borgpetersenii_GCF_003046425	Leptospira_johnsonii_GCF_003112675	1372.5	71.667	4.156	4391	71.447	4.070	4368	71.477	4.061
Leptospira_kemamanensis_GCF_004769665	Leptospira_johnsonii_GCF_003112675	534	70.091	3.948	1890	69.951	3.937	1870	69.943	3.905
Leptospira_alstonii_GCF_000347175	Leptospira_johnsonii_GCF_003112675	1411.5	71.789	4.246	4598	71.549	4.174	4661	71.723	4.517
Leptospira_ilyithenensis_GCF_004771005	Leptospira_johnsonii_GCF_003112675	699	70.409	3.766	2330	70.377	3.863	2318	70.363	3.850
Leptospira_brenneri_GCF_002812125	Leptospira_ellisii_GCF_002811955	450.5	69.528	3.993	1572	69.400	3.884	1568	69.412	3.927
Leptospira_ainazelensis_GCF_016918785	Leptospira_johnsonii_GCF_003112675	1587.5	71.727	4.086	5243	71.479	4.136	5163	71.507	4.103
Leptospira_ognonensis_GCF_004770745	Leptospira_ellisii_GCF_002811955	431	69.079	3.670	1481	68.990	3.653	1511	68.965	3.653
Leptospira_congkakensis_GCF_004770265	Leptospira_ellisii_GCF_002811955	464.5	69.668	3.918	1546	69.501	3.813	1540	69.548	3.798
Leptospira_gomenensis_GCF_004770155	Leptospira_ellisii_GCF_002811955	6656.5	85.906	4.109	16097	85.679	4.280	16506	85.672	4.254
Leptospira_ellinghausenii_GCF_003114815	Leptospira_ellisii_GCF_002811955	423	69.342	3.948	1439	69.280	3.988	1418	69.342	3.976
Leptospira_kanakyensis_GCF_004769235	Leptospira_johnsonii_GCF_003112675	589	70.264	4.191	2016	70.098	4.004	2004	70.063	4.018
Leptospira_perolatii_GCF_002811875	Leptospira_ellisii_GCF_002811955	1252	71.241	4.097	4062	70.982	3.958	4115	71.006	3.967
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_ellisii_GCF_002811955	4276	77.610	5.019	12167	77.070	5.118	12508	77.126	5.127
Leptospira_sarikeiensis_GCF_004769615	Leptospira_ellisii_GCF_002811955	1329.5	71.478	4.206	4255	71.194	4.125	4329	71.183	4.120
Leptospira_noguchii_GCF_000306255	Leptospira_johnsonii_GCF_003112675	1416.5	71.688	4.163	4672	71.519	4.117	4670	71.592	4.291
Leptospira_milleri_GCF_040833955	Leptospira_ellisii_GCF_002811955	424	69.706	4.010	1449	69.557	3.913	1501	69.813	4.474
Leptospira_kobayashii_GCF_003114835	Leptospira_ellisii_GCF_002811955	584	70.219	4.036	2076	70.046	3.865	2060	70.127	3.884
Leptospira_ryugenii_GCF_003114855	Leptospira_ellisii_GCF_002811955	409	68.807	3.387	1405	68.890	3.690	1388	68.971	3.711
Leptospira_meyeri_GCF_004368965	Leptospira_ellisii_GCF_002811955	439.5	69.660	4.090	1503	69.370	3.866	1492	69.509	4.123
Leptospira_idonii_GCF_004770995	Leptospira_ellisii_GCF_002811955	610	70.676	4.092	2095	70.408	3.986	2117	70.492	4.042
Leptospira_cinconiae_GCF_040833995	Leptospira_ellisii_GCF_002811955	1329.5	71.594	4.243	4322	71.460	4.173	4420	71.534	4.416
Leptospira_jelokensis_GCF_004769775	Leptospira_ellisii_GCF_002811955	419	69.353	3.894	1448	69.309	3.870	1476	69.503	4.252
Leptospira_licerasiae_GCF_000244755	Leptospira_ellisii_GCF_002811955	1355	71.482	4.105	4310	71.261	4.136	4421	71.204	4.152
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_ellisii_GCF_002811955	454	69.372	3.796	1552	69.330	3.900	1553	69.421	4.093
Leptospira_biflexa_GCF_000017685	Leptospira_ellisii_GCF_002811955	440	69.645	3.968	1474	69.436	3.803	1499	69.635	4.387
Leptospira_harrisiae_GCF_002811945	Leptospira_ellisii_GCF_002811955	424.5	69.509	4.200	1486	69.346	3.903	1485	69.520	4.185
Leptospira_chreensis_GCF_016919165	Leptospira_ellisii_GCF_002811955	472.5	69.774	3.937	1564	69.518	3.824	1671	69.474	3.752
Leptospira_iowaensis_GCF_040833965	Leptospira_ellisii_GCF_002811955	434.5	69.438	3.915	1474	69.270	3.838	1491	69.495	4.392
Leptospira_bouyouniensis_GCF_004770445	Leptospira_ellisii_GCF_002811955	432	69.352	4.114	1440	69.123	3.844	1440	69.240	4.173
Leptospira_kirschneri_GCF_000243695	Leptospira_ellisii_GCF_002811955	3293	76.426	4.943	9495	75.980	4.932	9612	76.006	4.936
Leptospira_yasudae_GCF_003545925	Leptospira_ellisii_GCF_002811955	4483.5	79.038	5.476	12469	78.502	5.539	12725	78.514	5.522
Leptospira_selangorensis_GCF_004769405	Leptospira_ellisii_GCF_002811955	1303.5	71.262	4.174	4243	71.033	4.078	4310	71.007	4.087
Leptospira_sanjuanensis_GCF_022267325	Leptospira_ellisii_GCF_002811955	4250.5	79.022	5.441	12185	78.509	5.482	12500	78.571	5.533
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_ellisii_GCF_002811955	1298.5	71.535	4.239	4317	71.292	4.113	4404	71.295	4.101
Leptospira_semungkisensis_GCF_004770055	Leptospira_ellisii_GCF_002811955	1336	71.310	4.135	4264	71.087	4.097	4341	71.093	4.093
Leptospira_hartskeerlii_GCF_002811475	Leptospira_ellisii_GCF_002811955	1302.5	71.240	4.152	4213	71.041	4.066	4251	71.010	4.062
Leptospira_santarosai_GCF_000313175	Leptospira_ellisii_GCF_002811955	3435	77.937	5.160	9731	77.481	5.116	9951	77.553	5.142
Leptospira_andrefontaineae_GCF_004770105	Leptospira_ellisii_GCF_002811955	1276.5	71.153	4.146	4169	70.990	4.061	4222	71.009	4.051
Leptospira_venezuelensis_GCF_002150035	Leptospira_ellisii_GCF_002811955	1266	70.957	4.027	4068	70.806	4.051	4131	70.783	4.087
Leptospira_kmetyi_GCF_000243735	Leptospira_ellisii_GCF_002811955	4584	79.108	5.435	12731	78.538	5.474	13023	78.543	5.503
Leptospira_tipperaryensis_GCF_001729245	Leptospira_ellisii_GCF_002811955	4454.5	77.575	5.030	12410	77.035	5.063	12699	77.102	5.114
Leptospira_fainei_GCF_000306235	Leptospira_ellisii_GCF_002811955	1380	71.397	4.082	4424	71.155	4.023	4488	71.182	4.072
Leptospira_neocaledonica_GCF_002812205	Leptospira_ellisii_GCF_002811955	1342	71.314	4.211	4267	71.151	4.074	4352	71.095	4.070
Leptospira_wolbachii_GCF_000332515	Leptospira_ellisii_GCF_002811955	440.5	69.703	4.038	1489	69.516	3.919	1529	69.910	4.619
Leptospira_weilii_GCF_006874745	Leptospira_ellisii_GCF_002811955	3590.5	77.562	5.127	10084	77.063	5.179	10201	77.160	5.236
Leptospira_noumeaensis_GCF_004770765	Leptospira_ellisii_GCF_002811955	454	69.586	3.997	1537	69.475	3.851	1552	69.516	3.882
Leptospira_yanagawae_GCF_000332475	Leptospira_ellisii_GCF_002811955	436.5	69.364	3.929	1448	69.211	3.909	1458	69.454	4.404
Leptospira_alexanderi_GCF_000243815	Leptospira_ellisii_GCF_002811955	3435.5	77.402	4.976	9973	76.955	5.089	10102	77.039	5.050
Leptospira_levettii_GCF_002812085	Leptospira_ellisii_GCF_002811955	414	69.411	3.875	1370	69.315	3.782	1374	69.325	3.773
Leptospira_bandrabouensis_GCF_004770905	Leptospira_ellisii_GCF_002811955	435.5	69.553	3.983	1507	69.417	3.844	1514	69.622	4.158
Leptospira_adleri_GCF_002811985	Leptospira_ellisii_GCF_002811955	4250	78.048	5.125	12244	77.568	5.180	12353	77.603	5.167
Leptospira_broomii_GCF_000243715	Leptospira_ellisii_GCF_002811955	1307.5	71.398	4.087	4332	71.192	3.973	4398	71.204	4.038
Leptospira_kemamanensis_GCF_004769665	Leptospira_ellisii_GCF_002811955	449	69.586	3.951	1503	69.410	3.887	1492	69.455	3.888
Leptospira_montravelensis_GCF_004769455	Leptospira_ellisii_GCF_002811955	448.5	69.633	4.039	1511	69.413	3.881	1523	69.486	4.099
Leptospira_langatensis_GCF_004770615	Leptospira_ellisii_GCF_002811955	1356.5	71.582	4.173	4352	71.357	4.158	4450	71.338	4.155
Leptospira_koniambonensis_GCF_004769555	Leptospira_ellisii_GCF_002811955	1251.5	71.029	4.146	4048	70.836	4.059	4113	70.813	4.059
Leptospira_fletcheri_GCF_004769195	Leptospira_ellisii_GCF_002811955	1387	72.044	4.205	4553	71.887	4.190	4608	71.902	4.204
Leptospira_stimsonii_GCF_003545885	Leptospira_ellisii_GCF_002811955	4395.5	77.587	5.074	12431	77.067	5.096	12588	77.095	5.108
Leptospira_barantonii_GCF_002811925	Leptospira_ellisii_GCF_002811955	4522	78.648	5.391	12720	78.148	5.385	13009	78.157	5.379
Leptospira_perdikensis_GCF_004769575	Leptospira_ellisii_GCF_002811955	437	69.691	4.019	1485	69.425	3.863	1489	69.542	3.961
Leptospira_wolffii_GCF_000306115	Leptospira_ellisii_GCF_002811955	1385	72.160	4.392	4621	71.952	4.255	4691	71.963	4.298
Leptospira_inadai_GCF_000243675	Leptospira_ellisii_GCF_002811955	1351.5	71.610	4.144	4468	71.384	4.024	4570	71.434	4.254
Leptospira_interrogans_GCF_000343165	Leptospira_ellisii_GCF_002811955	3164	76.122	4.927	9397	75.608	4.880	9520	75.635	4.853
Leptospira_borgpetersenii_GCF_003046425	Leptospira_ellisii_GCF_002811955	3425.5	77.121	5.131	9774	76.649	5.108	9805	76.730	5.071
Leptospira_alstonii_GCF_000347175	Leptospira_ellisii_GCF_002811955	3675.5	78.625	5.098	10414	78.062	5.208	10626	78.122	5.278
Leptospira_kanakyensis_GCF_004769235	Leptospira_ellisii_GCF_002811955	435	69.688	3.919	1532	69.463	3.869	1510	69.608	3.894
Leptospira_gomenensis_GCF_004770155	Leptospira_terpstrae_GCF_000332495	488	69.592	4.040	1691	69.830	4.555	1668	69.541	3.924
Leptospira_vanthielii_GCF_000332455	Leptospira_terpstrae_GCF_000332495	7226	86.181	4.490	16958	85.855	4.737	16970	85.854	4.745
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_terpstrae_GCF_000332495	618	69.891	3.994	2042	70.034	4.395	2040	69.801	3.900
Leptospira_ilyithenensis_GCF_004771005	Leptospira_ellisii_GCF_002811955	585	70.077	3.656	1954	69.943	3.768	1945	70.021	3.786
Leptospira_noguchii_GCF_000306255	Leptospira_ellisii_GCF_002811955	3286	76.199	4.973	9528	75.642	4.928	9775	75.629	5.026
Leptospira_ainazelensis_GCF_016918785	Leptospira_ellisii_GCF_002811955	4293	77.744	5.025	12391	77.280	5.095	12526	77.313	5.086
Leptospira_ryugenii_GCF_003114855	Leptospira_terpstrae_GCF_000332495	2164.5	72.402	4.392	6963	72.179	4.604	6968	72.035	4.275
Leptospira_cinconiae_GCF_040833995	Leptospira_terpstrae_GCF_000332495	589	70.225	4.129	1946	70.270	4.362	1941	70.142	4.246
Leptospira_yasudae_GCF_003545925	Leptospira_terpstrae_GCF_000332495	530.5	69.861	3.909	1833	69.953	4.495	1804	69.647	3.874
Leptospira_ognonensis_GCF_004770745	Leptospira_terpstrae_GCF_000332495	2479.5	72.818	4.624	7694	72.487	4.746	7679	72.377	4.493
Leptospira_ellinghausenii_GCF_003114815	Leptospira_terpstrae_GCF_000332495	5582.5	78.720	5.344	14898	78.167	5.515	14887	78.115	5.434
Leptospira_sarikeiensis_GCF_004769615	Leptospira_terpstrae_GCF_000332495	575.5	70.112	4.037	1994	70.289	4.434	1977	70.000	3.937
Leptospira_brenneri_GCF_002812125	Leptospira_terpstrae_GCF_000332495	6924.5	82.400	4.834	16531	82.116	5.033	16490	82.067	4.995
Leptospira_perolatii_GCF_002811875	Leptospira_terpstrae_GCF_000332495	539	69.880	3.846	1840	70.014	4.362	1802	69.722	3.810
Leptospira_congkakensis_GCF_004770265	Leptospira_terpstrae_GCF_000332495	6877.5	82.895	4.871	16641	82.548	5.066	16658	82.491	5.023
Leptospira_kobayashii_GCF_003114835	Leptospira_terpstrae_GCF_000332495	2627	73.062	4.534	8118	72.806	4.726	8117	72.694	4.517
Leptospira_milleri_GCF_040833955	Leptospira_terpstrae_GCF_000332495	5315	78.535	5.298	14094	77.985	5.450	14129	77.968	5.430
Leptospira_meyeri_GCF_004368965	Leptospira_terpstrae_GCF_000332495	7120.5	82.349	4.705	17380	81.975	4.945	17357	81.951	4.925
Leptospira_fainei_GCF_000306235	Leptospira_terpstrae_GCF_000332495	513	69.616	3.813	1748	69.744	4.370	1750	69.443	3.829
Leptospira_idonii_GCF_004770995	Leptospira_terpstrae_GCF_000332495	2593.5	73.240	4.645	8076	72.983	4.795	8108	72.897	4.588
Leptospira_jelokensis_GCF_004769775	Leptospira_terpstrae_GCF_000332495	5211	78.607	5.322	14361	78.046	5.456	14355	78.006	5.419
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_terpstrae_GCF_000332495	6983.5	82.657	4.790	17154	82.401	4.975	17133	82.365	4.942
Leptospira_licerasiae_GCF_000244755	Leptospira_terpstrae_GCF_000332495	565.5	70.307	4.183	1934	70.283	4.449	1937	70.017	3.988
Leptospira_biflexa_GCF_000017685	Leptospira_terpstrae_GCF_000332495	5674	78.635	5.311	14882	78.156	5.483	14889	78.106	5.469
Leptospira_kirschneri_GCF_000243695	Leptospira_terpstrae_GCF_000332495	562	70.262	4.093	1969	70.315	4.376	1943	70.074	3.953
Leptospira_sanjuanensis_GCF_022267325	Leptospira_terpstrae_GCF_000332495	518	69.821	4.000	1786	69.995	4.470	1783	69.920	4.341
Leptospira_kmetyi_GCF_000243735	Leptospira_terpstrae_GCF_000332495	533.5	69.880	3.862	1862	69.982	4.430	1826	69.720	3.937
Leptospira_harrisiae_GCF_002811945	Leptospira_terpstrae_GCF_000332495	6911.5	82.551	4.761	16863	82.299	4.948	16816	82.278	4.909
