-	Leptospira_tipperaryensis_GCF_001729245	Leptospira_saintgironsiae_GCF_002811765	Leptospira_johnsonii_GCF_003112675	Leptospira_santarosai_GCF_000313175	Leptospira_levettii_GCF_002812085	Leptospira_weilii_GCF_006874745	Leptospira_bouyouniensis_GCF_004770445	Leptospira_inadai_GCF_000243675	Leptospira_gomenensis_GCF_004770155	Leptospira_mtsangambouensis_GCF_004770475	Leptospira_bourretii_GCF_004769285	Leptospira_ellisii_GCF_002811955	Leptospira_langatensis_GCF_004770615	Leptospira_licerasiae_GCF_000244755	Leptospira_ryugenii_GCF_003114855	Leptospira_fletcheri_GCF_004769195	Leptospira_gorisiae_GCF_040833975	Leptospira_brenneri_GCF_002812125	Leptospira_yanagawae_GCF_000332475	Leptospira_selangorensis_GCF_004769405	Leptospira_kmetyi_GCF_000243735	Leptospira_bandrabouensis_GCF_004770905	Leptospira_haakeii_GCF_002812045	Leptospira_noguchii_GCF_000306255	Leptospira_interrogans_GCF_000343165	Leptospira_cinconiae_GCF_040833995	Leptospira_alexanderi_GCF_000243815	Leptospira_ilyithenensis_GCF_004771005	Leptospira_alstonii_GCF_000347175	Leptospira_broomii_GCF_000243715	Leptospira_chreensis_GCF_016919165	Leptospira_perolatii_GCF_002811875	Leptospira_idonii_GCF_004770995	Leptospira_meyeri_GCF_004368965	Leptospira_ellinghausenii_GCF_003114815	Leptospira_kirschneri_GCF_000243695	Leptospira_fainei_GCF_000306235	Leptospira_neocaledonica_GCF_002812205	Leptospira_yasudae_GCF_003545925	Leptospira_venezuelensis_GCF_002150035	Leptospira_abararensis_GCF_016918735	Leptospira_congkakensis_GCF_004770265	Leptospira_ognonensis_GCF_004770745	Leptospira_wolbachii_GCF_000332515	Leptospira_mayottensis_GCF_000306675	Leptospira_noumeaensis_GCF_004770765	Leptospira_stimsonii_GCF_003545885	Leptospira_borgpetersenii_GCF_003046425	Leptospira_perdikensis_GCF_004769575	Leptospira_ainazelensis_GCF_016918785	Leptospira_kemamanensis_GCF_004769665	Leptospira_jelokensis_GCF_004769775	Leptospira_milleri_GCF_040833955	Leptospira_kobayashii_GCF_003114835	Leptospira_koniambonensis_GCF_004769555	Leptospira_iowaensis_GCF_040833965	Leptospira_andrefontaineae_GCF_004770105	Leptospira_adleri_GCF_002811985	Leptospira_montravelensis_GCF_004769455	Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_mgodei_GCF_040833985	Leptospira_biflexa_GCF_000017685	Leptospira_semungkisensis_GCF_004770055	Leptospira_hartskeerlii_GCF_002811475	Leptospira_sarikeiensis_GCF_004769615	Leptospira_terpstrae_GCF_000332495	Leptospira_kanakyensis_GCF_004769235	Leptospira_wolffii_GCF_000306115	Leptospira_sanjuanensis_GCF_022267325	Leptospira_harrisiae_GCF_002811945	Leptospira_vanthielii_GCF_000332455	Leptospira_barantonii_GCF_002811925	Leptospira_dzoumogneensis_GCF_004770895
Leptospira_kirschneri_GCF_000243695	78.169	71.756	71.823	81.040	70.027	81.177	70.067	71.317	76.717	70.378	70.083	76.426	71.328	71.769	69.627	71.231	78.043	70.257	70.104	71.914	79.846	70.286	71.649	90.874	91.876	71.837	81.431	70.458	81.693	71.371	70.232	71.616	70.791	70.085	69.990	100	71.202	71.916	78.932	71.627	70.174	70.365	69.738	70.132	81.404	70.188	77.792	81.493	70.297	77.833	70.188	70.132	70.115	70.581	71.711	70.087	71.720	77.778	70.403	77.807	70.267	69.999	71.505	71.735	71.858	70.262	70.381	71.658	78.969	70.185	70.123	79.842	71.825
Leptospira_fainei_GCF_000306235	71.461	72.629	72.884	71.688	69.362	71.553	69.398	86.482	71.493	69.670	69.568	71.397	72.754	72.878	69.324	74.886	71.440	69.564	69.473	72.735	71.580	69.382	72.705	71.164	71.258	72.964	71.509	70.294	71.535	87.283	69.559	72.292	70.354	69.572	69.554	71.202	100	72.921	71.645	72.633	69.645	69.553	69.366	69.735	71.405	69.555	71.365	71.378	69.680	71.434	69.515	69.405	69.575	70.227	72.654	69.618	72.848	71.466	69.620	71.385	69.627	69.453	72.900	72.660	73.038	69.616	69.473	73.251	71.568	69.628	69.478	71.456	72.974
Leptospira_neocaledonica_GCF_002812205	71.717	88.032	89.484	71.678	70.068	71.662	70.021	72.887	71.386	70.320	70.258	71.314	76.994	86.757	69.644	72.707	71.687	70.267	70.107	87.953	71.611	70.329	87.572	71.751	71.839	87.016	71.775	70.405	71.671	72.922	70.310	72.515	70.967	70.316	70.223	71.916	72.921	100	71.663	86.700	70.073	70.301	69.628	70.087	71.705	70.174	71.620	71.632	70.289	71.717	70.163	69.966	70.117	70.601	87.558	70.129	87.848	71.628	70.360	71.672	70.363	70.200	77.156	87.662	81.212	70.211	70.382	75.526	71.629	70.269	70.254	71.765	87.756
Leptospira_yasudae_GCF_003545925	79.639	71.355	71.713	80.835	69.729	80.901	69.574	71.684	78.874	69.862	69.975	79.038	71.842	71.609	69.161	71.970	79.355	69.859	69.728	71.559	83.203	69.803	71.488	78.606	78.482	71.885	80.699	70.287	81.997	71.502	69.935	71.470	70.876	69.799	69.783	78.932	71.645	71.663	100	71.319	69.970	69.931	69.299	69.959	80.269	69.839	79.521	80.314	69.758	79.593	69.948	69.681	69.880	70.416	71.289	69.814	71.423	79.856	69.808	79.252	69.898	69.834	71.664	71.593	71.806	69.861	69.973	72.299	93.149	69.795	69.906	82.819	71.803
Leptospira_venezuelensis_GCF_002150035	71.557	88.533	86.749	71.386	70.149	71.415	70.223	72.508	71.058	70.512	70.383	70.957	76.601	86.962	69.807	72.420	71.344	70.412	70.249	88.198	71.452	70.290	87.936	71.730	71.733	85.435	71.482	70.256	71.350	72.693	70.356	72.434	70.811	70.340	70.209	71.627	72.633	86.700	71.319	100	70.385	70.447	69.708	70.123	71.447	70.158	71.417	71.478	70.362	71.507	70.233	70.112	70.180	70.566	88.766	70.303	88.321	71.390	70.417	71.463	70.323	70.058	76.930	87.578	80.774	70.287	70.165	75.095	71.364	70.299	70.163	71.456	88.564
Leptospira_abararensis_GCF_016918735	70.143	70.340	70.047	70.046	78.473	69.855	78.568	69.543	69.830	82.706	82.706	69.617	69.850	70.270	72.414	69.508	69.897	82.656	78.669	70.348	69.816	82.622	70.332	70.224	70.169	70.097	69.920	73.162	70.071	69.615	85.043	69.811	73.209	82.499	78.488	70.174	69.645	70.073	69.970	70.385	100	83.068	72.729	87.016	70.113	82.761	70.046	69.866	83.830	70.001	78.930	78.478	78.482	73.192	70.390	78.526	70.264	69.838	82.510	70.056	89.252	78.658	69.996	70.180	70.119	86.959	82.932	69.646	69.913	82.579	89.130	69.904	70.228
Leptospira_congkakensis_GCF_004770265	70.162	70.476	70.228	69.803	78.954	69.845	78.714	69.458	69.680	84.107	84.006	69.668	69.950	70.311	72.565	69.477	69.944	84.015	78.821	70.374	69.936	83.233	70.546	70.285	70.390	70.258	69.911	73.311	69.840	69.653	83.798	69.846	73.381	84.150	78.875	70.365	69.553	70.301	69.931	70.447	83.068	100	72.792	83.166	70.137	87.627	70.019	69.960	85.362	69.929	79.121	78.783	78.685	73.117	70.308	78.768	70.495	69.831	83.268	70.048	83.060	78.950	70.221	70.385	70.291	82.895	88.212	69.668	69.887	83.866	83.182	70.102	70.343
Leptospira_ognonensis_GCF_004770745	69.512	69.788	69.604	69.223	72.766	69.315	72.734	69.312	69.107	72.792	72.773	69.079	69.474	69.653	72.687	69.126	69.473	72.730	72.684	69.717	69.328	72.752	69.723	69.576	69.638	69.695	69.285	72.889	69.280	69.254	72.772	69.614	72.893	72.811	72.733	69.738	69.366	69.628	69.299	69.708	72.729	72.792	100	72.659	69.590	72.708	69.484	69.361	72.724	69.451	72.911	72.625	72.711	72.807	69.823	72.726	69.825	69.310	72.819	69.437	72.739	72.748	69.657	69.600	69.618	72.818	72.661	69.376	69.380	72.758	72.761	69.350	69.621
Leptospira_wolbachii_GCF_000332515	70.288	70.286	69.970	69.840	78.515	69.873	78.445	69.643	69.854	82.881	82.797	69.703	69.838	70.087	72.305	69.628	70.064	82.731	78.598	70.289	69.820	83.116	70.209	70.276	70.218	70.207	69.992	73.166	70.064	69.662	85.654	69.787	73.358	82.521	78.543	70.132	69.735	70.087	69.959	70.123	87.016	83.166	72.659	100	70.132	82.726	70.036	69.916	84.107	70.012	78.823	78.433	78.421	73.075	70.368	78.579	70.291	69.870	82.969	70.094	87.167	78.655	69.930	70.180	70.097	85.911	82.943	69.640	70.009	82.591	90.177	70.015	70.121
Leptospira_mayottensis_GCF_000306675	78.731	71.523	71.656	87.991	69.915	91.784	70.008	71.352	77.020	70.096	70.091	77.036	71.419	71.714	69.382	71.501	78.386	70.233	69.986	71.738	81.105	70.039	71.607	81.092	81.106	71.834	92.946	70.344	83.908	71.397	70.057	71.445	70.856	70.071	70.112	81.404	71.405	71.705	80.269	71.447	70.113	70.137	69.590	70.132	100	70.011	78.355	92.010	70.021	78.529	70.047	69.986	70.073	70.302	71.520	70.037	71.624	78.375	70.120	78.339	70.177	70.027	71.541	71.588	71.787	70.102	70.065	71.732	80.165	70.040	69.997	80.923	71.785
Leptospira_noumeaensis_GCF_004770765	70.016	70.363	70.165	69.855	78.997	69.810	78.757	69.434	69.594	84.038	84.024	69.586	70.008	70.235	72.430	69.532	69.928	83.764	78.796	70.294	69.723	83.468	70.389	70.362	70.254	70.168	69.953	73.137	70.082	69.695	83.388	69.935	73.318	83.596	79.019	70.188	69.555	70.174	69.839	70.158	82.761	87.627	72.708	82.726	70.011	100	69.968	69.833	84.169	69.774	79.229	78.853	78.718	73.144	70.431	78.925	70.324	69.812	83.950	69.846	82.782	78.867	69.963	70.221	70.033	82.616	90.057	69.744	69.919	84.684	82.791	69.894	70.177
Leptospira_stimsonii_GCF_003545885	85.743	71.462	71.656	78.710	69.753	78.593	69.687	71.478	77.642	70.002	69.932	77.587	71.514	71.642	69.213	71.572	79.541	69.923	69.777	71.566	79.704	70.006	71.432	77.571	77.466	71.720	78.729	70.343	79.551	71.408	70.216	71.382	70.830	70.069	69.787	77.792	71.365	71.620	79.521	71.417	70.046	70.019	69.484	70.036	78.355	69.968	100	78.343	70.044	84.687	69.945	69.921	70.128	70.653	71.384	69.933	71.591	85.066	70.009	85.687	70.022	69.853	71.521	71.559	71.812	69.931	69.953	71.863	79.495	70.089	69.892	79.634	71.680
Leptospira_borgpetersenii_GCF_003046425	78.507	71.516	71.667	88.041	69.710	91.333	69.727	71.387	77.316	69.956	69.998	77.121	71.390	71.590	69.293	71.570	78.355	69.977	69.729	71.598	81.138	69.911	71.462	80.996	81.094	71.730	92.199	70.212	83.826	71.356	70.014	71.545	70.668	69.978	69.765	81.493	71.378	71.632	80.314	71.478	69.866	69.960	69.361	69.916	92.010	69.833	78.343	100	69.932	78.559	69.670	69.793	70.045	70.515	71.359	69.948	71.559	78.434	69.861	78.334	69.885	69.915	71.409	71.556	71.815	69.924	70.039	71.917	80.245	69.805	69.856	81.038	71.573
Leptospira_perdikensis_GCF_004769575	70.032	70.302	70.306	69.795	78.616	69.793	78.906	69.534	69.627	83.107	83.037	69.691	69.616	70.177	72.322	69.441	70.050	83.383	78.589	70.364	69.746	82.607	70.551	70.305	70.379	70.113	69.852	73.126	69.945	69.582	86.744	69.809	73.287	83.166	78.668	70.297	69.680	70.289	69.758	70.362	83.830	85.362	72.724	84.107	70.021	84.169	70.044	69.932	100	69.861	79.050	78.663	78.405	73.026	70.564	78.628	70.412	69.756	82.636	69.793	84.100	78.765	70.142	70.273	70.231	83.554	84.533	69.592	69.834	83.037	84.177	69.879	70.224
Leptospira_ainazelensis_GCF_016918785	86.233	71.458	71.727	78.835	69.652	78.788	69.682	71.573	77.822	70.099	69.970	77.744	71.635	71.638	69.211	71.779	80.086	69.834	69.666	71.551	80.027	69.877	71.475	77.615	77.618	71.857	78.895	70.518	79.993	71.400	70.029	71.432	70.678	69.829	69.735	77.833	71.434	71.717	79.593	71.507	70.001	69.929	69.451	70.012	78.529	69.774	84.687	78.559	69.861	100	69.772	69.680	69.772	70.622	71.414	69.788	71.589	84.994	69.880	87.412	69.901	69.711	71.499	71.573	71.810	69.896	69.799	71.936	79.519	69.828	69.792	79.915	71.822
Leptospira_kemamanensis_GCF_004769665	70.100	70.270	70.091	69.872	83.322	69.832	82.117	69.357	69.924	79.206	79.209	69.586	69.719	70.096	72.557	69.493	70.136	78.903	83.605	70.139	69.810	79.118	70.255	70.286	70.251	69.943	69.719	73.101	70.044	69.433	78.938	69.646	73.244	78.900	83.451	70.188	69.515	70.163	69.948	70.233	78.930	79.121	72.911	78.823	70.047	79.229	69.945	69.670	79.050	69.772	100	83.467	82.339	73.115	70.264	83.994	70.339	69.858	79.108	69.980	78.818	82.267	69.886	70.156	69.923	78.963	79.210	69.506	69.959	79.032	78.938	69.875	69.844
Leptospira_jelokensis_GCF_004769775	69.841	70.153	69.982	69.716	81.736	69.709	83.696	69.321	69.643	78.729	78.773	69.353	69.737	70.092	72.697	69.497	69.862	78.475	89.141	70.151	69.648	78.647	70.089	69.907	70.006	70.108	69.815	73.061	69.765	69.472	78.686	69.768	73.091	78.674	81.713	70.132	69.405	69.966	69.681	70.112	78.478	78.783	72.625	78.433	69.986	78.853	69.921	69.793	78.663	69.680	83.467	100	81.230	72.973	70.187	81.891	70.194	69.596	78.577	69.802	78.539	82.465	69.785	70.033	69.984	78.607	78.837	69.676	69.792	78.697	78.579	69.777	70.144
Leptospira_milleri_GCF_040833955	70.448	70.259	69.993	69.852	82.247	69.770	81.460	69.504	69.806	78.624	78.777	69.706	69.770	70.116	72.409	69.337	70.014	78.592	81.120	70.197	69.848	78.609	70.253	70.216	70.207	70.190	69.978	72.963	69.962	69.447	78.569	69.783	73.115	78.442	82.237	70.115	69.575	70.117	69.880	70.180	78.482	78.685	72.711	78.421	70.073	78.718	70.128	70.045	78.405	69.772	82.339	81.230	100	72.960	70.268	81.737	70.197	69.977	78.557	70.145	78.417	81.666	69.924	70.075	70.203	78.535	78.734	69.585	69.959	78.638	78.431	70.001	70.216
Leptospira_kobayashii_GCF_003114835	70.830	70.630	70.610	70.615	72.876	70.452	72.862	70.278	70.380	73.159	73.262	70.219	70.207	70.560	72.091	70.179	70.635	73.201	72.908	70.522	70.632	73.072	70.492	70.331	70.558	70.555	70.530	88.477	70.521	70.281	73.189	70.229	75.530	72.996	72.819	70.581	70.227	70.601	70.416	70.566	73.192	73.117	72.807	73.075	70.302	73.144	70.653	70.515	73.026	70.622	73.115	72.973	72.960	100	70.705	72.926	70.653	70.550	73.116	70.552	73.201	72.911	70.346	70.592	70.530	73.062	73.107	70.343	70.466	73.110	73.123	70.473	70.722
Leptospira_koniambonensis_GCF_004769555	71.528	90.869	87.499	71.492	70.167	71.409	70.213	72.553	71.194	70.550	70.357	71.029	76.732	87.171	69.700	72.373	71.392	70.407	70.239	89.454	71.476	70.440	89.111	71.826	71.737	86.025	71.586	70.439	71.345	72.595	70.621	72.321	70.981	70.587	70.415	71.711	72.654	87.558	71.289	88.766	70.390	70.308	69.823	70.368	71.520	70.431	71.384	71.359	70.564	71.414	70.264	70.187	70.268	70.705	100	70.325	89.541	71.402	70.606	71.447	70.350	70.139	77.140	88.585	81.083	70.507	70.462	75.104	71.361	70.511	70.242	71.469	89.382
Leptospira_iowaensis_GCF_040833965	70.117	70.328	70.052	69.922	83.741	69.768	82.159	69.306	69.773	78.987	78.851	69.438	69.761	69.984	72.495	69.480	69.788	78.683	81.896	70.231	69.663	78.873	70.266	70.173	70.098	70.046	69.745	72.922	69.951	69.551	78.653	69.823	73.046	78.623	83.767	70.087	69.618	70.129	69.814	70.303	78.526	78.768	72.726	78.579	70.037	78.925	69.933	69.948	78.628	69.788	83.994	81.891	81.737	72.926	70.325	100	70.515	69.579	78.979	69.793	78.539	82.244	69.835	70.257	70.114	78.613	78.844	69.493	69.870	78.776	78.719	69.732	70.146
Leptospira_andrefontaineae_GCF_004770105	71.640	89.523	87.751	71.638	70.216	71.467	70.223	72.768	71.310	70.478	70.386	71.153	76.846	87.371	69.809	72.625	71.534	70.518	70.256	89.717	71.546	70.441	89.618	71.641	71.589	86.488	71.589	70.452	71.460	72.795	70.456	72.509	71.010	70.418	70.286	71.720	72.848	87.848	71.423	88.321	70.264	70.495	69.825	70.291	71.624	70.324	71.591	71.559	70.412	71.589	70.339	70.194	70.197	70.653	89.541	70.515	100	71.512	70.504	71.580	70.464	70.303	77.094	88.547	81.219	70.437	70.574	75.371	71.461	70.394	70.264	71.660	89.067
Leptospira_adleri_GCF_002811985	84.989	71.416	71.595	79.044	69.516	78.786	69.621	71.588	78.049	69.882	69.825	78.048	71.558	71.649	69.248	71.622	79.726	69.751	69.695	71.490	80.223	69.745	71.432	77.499	77.420	71.752	78.760	70.208	79.758	71.455	69.839	71.357	70.796	69.888	69.617	77.778	71.466	71.628	79.856	71.390	69.838	69.831	69.310	69.870	78.375	69.812	85.066	78.434	69.756	84.994	69.858	69.596	69.977	70.550	71.402	69.579	71.512	100	69.923	84.515	69.849	69.835	71.517	71.542	71.578	69.766	69.885	71.967	79.693	69.705	69.847	80.089	71.769
Leptospira_montravelensis_GCF_004769455	70.026	70.553	70.206	69.979	78.894	69.871	78.675	69.582	69.817	84.312	84.293	69.633	69.720	70.274	72.530	69.276	69.956	82.029	78.718	70.389	69.702	90.107	70.358	70.395	70.460	70.123	69.762	73.095	69.878	69.585	82.300	69.872	73.317	83.410	79.082	70.403	69.620	70.360	69.808	70.417	82.510	83.268	72.819	82.969	70.120	83.950	70.009	69.861	82.636	69.880	79.108	78.577	78.557	73.116	70.606	78.979	70.504	69.923	100	69.892	82.574	78.814	69.986	70.334	70.127	82.485	83.310	69.770	69.754	84.976	83.176	69.868	70.219
Leptospira_ainlahdjerensis_GCF_016919175	87.581	71.520	71.650	78.623	69.652	78.464	69.564	71.570	77.657	70.132	70.004	77.610	71.565	71.670	69.311	71.588	79.784	70.053	69.761	71.705	79.732	69.927	71.496	77.544	77.535	71.795	78.593	70.495	79.589	71.420	70.174	71.470	70.674	69.975	69.670	77.807	71.385	71.672	79.252	71.463	70.056	70.048	69.437	70.094	78.339	69.846	85.687	78.334	69.793	87.412	69.980	69.802	70.145	70.552	71.447	69.793	71.580	84.515	69.892	100	69.837	69.869	71.655	71.702	71.853	69.891	70.023	71.918	79.287	69.893	69.819	79.748	71.817
Leptospira_mgodei_GCF_040833985	69.951	70.459	70.304	70.055	78.526	70.018	78.531	69.572	69.705	82.784	82.682	69.671	69.824	70.208	72.249	69.342	69.906	82.688	78.488	70.363	69.812	82.642	70.405	70.327	70.255	70.123	69.777	73.181	69.866	69.422	85.246	69.745	73.194	82.466	78.604	70.267	69.627	70.363	69.898	70.323	89.252	83.060	72.739	87.167	70.177	82.782	70.022	69.885	84.100	69.901	78.818	78.539	78.417	73.201	70.350	78.539	70.464	69.849	82.574	69.837	100	78.782	70.004	70.194	70.019	86.238	82.844	69.462	69.995	82.605	89.250	69.915	70.184
Leptospira_biflexa_GCF_000017685	70.001	70.224	70.060	69.793	82.186	69.713	83.769	69.441	69.879	78.796	78.878	69.645	69.792	70.019	72.546	69.616	70.053	78.580	82.752	70.179	69.802	78.865	70.123	70.049	70.209	70.018	69.691	72.980	69.715	69.289	78.683	69.740	73.129	78.808	82.102	69.999	69.453	70.200	69.834	70.058	78.658	78.950	72.748	78.655	70.027	78.867	69.853	69.915	78.765	69.711	82.267	82.465	81.666	72.911	70.139	82.244	70.303	69.835	78.814	69.869	78.782	100	69.967	70.037	70.089	78.635	78.950	69.562	69.883	78.713	78.698	69.968	70.018
Leptospira_semungkisensis_GCF_004770055	71.728	77.116	77.218	71.581	69.544	71.558	69.840	72.951	71.365	70.131	69.920	71.310	83.745	76.909	69.512	72.929	71.450	70.085	69.825	77.112	71.644	70.175	77.069	71.485	71.407	77.004	71.535	70.221	71.676	72.837	70.033	72.383	70.792	69.968	69.855	71.505	72.900	77.156	71.664	76.930	69.996	70.221	69.657	69.930	71.541	69.963	71.521	71.409	70.142	71.499	69.886	69.785	69.924	70.346	77.140	69.835	77.094	71.517	69.986	71.655	70.004	69.967	100	77.095	77.064	70.109	70.025	75.763	71.685	69.962	70.084	71.650	77.259
Leptospira_hartskeerlii_GCF_002811475	71.683	88.819	87.930	71.601	69.926	71.583	69.921	72.797	71.347	70.377	70.334	71.240	76.808	88.240	69.708	72.697	71.635	70.223	70.063	88.574	71.631	70.417	88.235	71.673	71.679	86.577	71.661	70.345	71.662	72.843	70.286	72.370	70.862	70.278	70.063	71.735	72.660	87.662	71.593	87.578	70.180	70.385	69.600	70.180	71.588	70.221	71.559	71.556	70.273	71.573	70.156	70.033	70.075	70.592	88.585	70.257	88.547	71.542	70.334	71.702	70.194	70.037	77.095	100	81.054	70.329	70.335	75.426	71.551	70.287	70.239	71.649	88.682
Leptospira_sarikeiensis_GCF_004769615	71.812	81.125	81.122	71.779	69.938	71.779	70.041	72.980	71.463	70.255	70.225	71.478	76.947	80.808	69.542	72.954	71.698	70.086	70.025	81.331	71.675	70.152	81.106	71.763	71.818	80.758	71.854	70.318	71.746	72.983	70.315	72.440	70.991	70.252	70.103	71.858	73.038	81.212	71.806	80.774	70.119	70.291	69.618	70.097	71.787	70.033	71.812	71.815	70.231	71.810	69.923	69.984	70.203	70.530	81.083	70.114	81.219	71.578	70.127	71.853	70.019	70.089	77.064	81.054	100	70.112	70.223	75.444	71.790	70.146	70.200	71.796	81.291
Leptospira_terpstrae_GCF_000332495	70.036	70.325	70.170	69.876	78.588	69.829	78.668	69.574	69.592	82.657	82.755	69.295	69.867	70.307	72.402	69.471	69.944	82.400	78.656	70.411	69.880	82.635	70.360	70.332	70.238	70.225	69.863	73.085	69.843	69.426	84.373	69.880	73.240	82.349	78.720	70.262	69.616	70.211	69.861	70.287	86.959	82.895	72.818	85.911	70.102	82.616	69.931	69.924	83.554	69.896	78.963	78.607	78.535	73.062	70.507	78.613	70.437	69.766	82.485	69.891	86.238	78.635	70.109	70.329	70.112	100	82.702	69.547	69.821	82.551	86.181	69.849	70.301
Leptospira_kanakyensis_GCF_004769235	70.133	70.346	70.264	69.826	78.838	69.761	78.762	69.528	69.693	84.539	84.327	69.688	69.974	70.195	72.345	69.426	70.067	84.088	78.919	70.374	69.779	83.397	70.378	70.307	70.400	70.133	70.046	73.151	69.830	69.636	83.665	69.945	73.383	83.809	78.941	70.381	69.473	70.382	69.973	70.165	82.932	88.212	72.661	82.943	70.065	90.057	69.953	70.039	84.533	69.799	79.210	78.837	78.734	73.107	70.462	78.844	70.574	69.885	83.310	70.023	82.844	78.950	70.025	70.335	70.223	82.702	100	69.719	69.894	84.083	83.058	69.960	70.286
Leptospira_wolffii_GCF_000306115	71.807	75.167	75.702	72.111	69.280	71.910	69.501	73.393	72.144	69.596	69.677	72.160	75.993	75.600	69.189	73.791	71.820	69.677	69.497	75.415	72.385	69.768	75.245	71.276	71.403	75.863	71.785	70.238	71.985	73.240	69.651	72.359	70.633	69.662	69.596	71.658	73.251	75.526	72.299	75.095	69.646	69.668	69.376	69.640	71.732	69.744	71.863	71.917	69.592	71.936	69.506	69.676	69.585	70.343	75.104	69.493	75.371	71.967	69.770	71.918	69.462	69.562	75.763	75.426	75.444	69.547	69.719	100	72.149	69.736	69.760	72.062	75.715
Leptospira_sanjuanensis_GCF_022267325	79.662	71.372	71.734	80.789	69.530	80.817	69.576	71.804	79.021	69.830	69.893	79.022	71.767	71.726	69.219	72.050	79.252	69.894	69.795	71.550	83.242	69.903	71.505	78.623	78.409	71.931	80.593	70.439	81.823	71.486	69.941	71.468	70.980	69.838	69.735	78.969	71.568	71.629	93.149	71.364	69.913	69.887	69.380	70.009	80.165	69.919	79.495	80.245	69.834	79.519	69.959	69.792	69.959	70.466	71.361	69.870	71.461	79.693	69.754	79.287	69.995	69.883	71.685	71.551	71.790	69.821	69.894	72.149	100	70.047	69.922	82.845	71.816
Leptospira_harrisiae_GCF_002811945	70.198	70.484	70.288	69.788	78.803	69.743	78.707	69.452	69.618	86.729	86.663	69.509	70.090	70.213	72.377	69.436	69.907	82.529	78.881	70.549	69.856	84.335	70.470	70.207	70.332	70.218	69.809	73.057	69.953	69.556	82.497	69.899	73.218	85.875	78.860	70.185	69.628	70.269	69.795	70.299	82.579	83.866	72.758	82.591	70.040	84.684	70.089	69.805	83.037	69.828	79.032	78.697	78.638	73.110	70.511	78.776	70.394	69.705	84.976	69.893	82.605	78.713	69.962	70.287	70.146	82.551	84.083	69.736	70.047	100	82.692	69.992	70.501
Leptospira_vanthielii_GCF_000332455	70.013	70.344	70.220	70.021	78.506	69.674	78.489	69.591	69.680	82.802	82.874	69.820	69.869	70.160	72.392	69.461	69.928	82.650	78.547	70.326	69.873	83.079	70.277	70.144	70.348	70.052	69.820	73.184	69.992	69.573	85.319	69.797	73.288	82.544	78.584	70.123	69.478	70.254	69.906	70.163	89.130	83.182	72.761	90.177	69.997	82.791	69.892	69.856	84.177	69.792	78.938	78.579	78.431	73.123	70.242	78.719	70.264	69.847	83.176	69.819	89.250	78.698	70.084	70.239	70.200	86.181	83.058	69.760	69.922	82.692	100	69.924	70.271
Leptospira_barantonii_GCF_002811925	79.877	71.489	71.755	81.381	69.739	81.374	69.786	71.612	78.531	69.966	69.835	78.648	71.818	71.826	69.249	71.855	79.448	69.878	69.745	71.660	90.506	69.890	71.531	79.548	79.458	71.978	81.356	70.375	82.669	71.445	70.016	71.481	70.871	69.915	69.861	79.842	71.456	71.765	82.819	71.456	69.904	70.102	69.350	70.015	80.923	69.894	79.634	81.038	69.879	79.915	69.875	69.777	70.001	70.473	71.469	69.732	71.660	80.089	69.868	79.748	69.915	69.968	71.650	71.649	71.796	69.849	69.960	72.062	82.845	69.992	69.924	100	71.895
Leptospira_dzoumogneensis_GCF_004770895	71.698	89.427	88.019	71.697	69.955	71.804	69.989	72.988	71.516	70.360	70.321	71.535	77.246	88.018	69.627	72.965	71.786	70.367	70.015	89.805	71.784	70.336	89.269	71.883	71.725	86.768	71.816	70.512	71.765	72.902	70.379	72.515	71.263	70.219	70.137	71.825	72.974	87.756	71.803	88.564	70.228	70.343	69.621	70.121	71.785	70.177	71.680	71.573	70.224	71.822	69.844	70.144	70.216	70.722	89.382	70.146	89.067	71.769	70.219	71.817	70.184	70.018	77.259	88.682	81.291	70.301	70.286	75.715	71.816	70.501	70.271	71.895	100
